difficulty,profile,runs,winRate,wallDurationSecondsP50,winningBossFightSecondsP50,winningBossShareP50,dropsGeneratedP50,effectivePickupsP50,mergesPerRegularWave,formed3StarAtBossEntryP50,breatherShare,expiredRate,collectedRate,actionsPerMinuteP50,actionsPerMinuteP95,rolling3sCountP50,rolling3sCountP95,rolling10sCountP50,rolling10sCountP95,queueDelayP50Seconds,queueDelayP95Seconds,overlappingWindowShareP50,attentionExtraExpiredP50,consumeActionsPerMinuteP50,errorRateP50,positionSwitchesP50,bountyOffered,bountyAccepted,bountyCompleted,bountyFailed,bountyRewardDrops,bountyRewardCollected,bountyAcceptanceRate,bountyCompletionRate,bountyRewardCollectionRate,bountyAcceptedBreaches,bountyAcceptedRunDeaths
easy,fast,2000,0.6935,822.6499999999091,112.86666666656402,0.14186017002906579,59,56,2.895,7,0.207314706503822,0.041069194699980424,0.9584457360712797,9.182261032800708,13.20569714288342,0,3,0,7,0.027236114438522918,0.7225016844943354,0.34345751324418944,0,1.593727755680424,0.00847457627118644,97,7806,5718,5356,362,10712,10254,0.7325134511913912,0.9366911507520111,0.957244212098581,0.181,0.3
easy,target,2000,0.6605,833.3666666665661,111.39999999989868,0.1399736365133152,55,51,2.706,6,0.20766289626670245,0.08984867591424968,0.9091334894613583,8.005987563105649,11.77642143412263,0,2,0,6,0.023847524675616683,1.3998711885869737,0.3317787087936013,0,1.2995351650198328,0.0390625,87,7697,3224,2936,288,5872,5208,0.4188644926594777,0.9106699751861043,0.8869209809264306,0.144,0.2785
easy,stressed,2000,0.6335,848.1333333332193,111.39999999989868,0.1390491100855825,52.5,43,2.455,6,0.20816573963092372,0.1852511137341507,0.8127117998705403,6.807604357266321,9.745707392689493,0,2,0,5,0.023443141459917882,2.7181226736765254,0.3169295169099281,2,0.9793199859294993,0.10975609756097561,73.5,7718,1670,1487,183,2974,2310,0.21637729981860584,0.8904191616766467,0.7767316745124412,0.0915,0.182
