difficulty,profile,runs,winRate,wallDurationSecondsP50,winningBossFightSecondsP50,winningBossShareP50,dropsGeneratedP50,effectivePickupsP50,mergesPerRegularWave,formed3StarAtBossEntryP50,breatherShare,expiredRate,collectedRate,actionsPerMinuteP50,actionsPerMinuteP95,rolling3sCountP50,rolling3sCountP95,rolling10sCountP50,rolling10sCountP95,queueDelayP50Seconds,queueDelayP95Seconds,overlappingWindowShareP50,attentionExtraExpiredP50,consumeActionsPerMinuteP50,errorRateP50,positionSwitchesP50,bountyOffered,bountyAccepted,bountyCompleted,bountyFailed,bountyRewardDrops,bountyRewardCollected,bountyAcceptanceRate,bountyCompletionRate,bountyRewardCollectionRate,bountyAcceptedBreaches,bountyAcceptedRunDeaths
easy,fast,2000,0.6935,822.6499999999091,112.86666666656402,0.14186017002906579,59,56,2.895,7,0.207314706503822,0.041069194699980424,0.9584457360712797,9.182261032800708,13.20569714288342,0,3,0,7,0.027236114438522918,0.7225016844943354,0.34345751324418944,0,1.593727755680424,0.00847457627118644,97,7806,5718,5356,362,10712,10254,0.7325134511913912,0.9366911507520111,0.957244212098581,0.181,0.3
easy,target,2000,0.6605,833.3666666665661,111.39999999989868,0.1399736365133152,55,51,2.706,6,0.20766289626670245,0.08984867591424968,0.9091334894613583,8.005987563105649,11.77642143412263,0,2,0,6,0.023847524675616683,1.3998711885869737,0.3317787087936013,0,1.2995351650198328,0.0390625,87,7697,3224,2936,288,5872,5208,0.4188644926594777,0.9106699751861043,0.8869209809264306,0.144,0.2785
easy,stressed,2000,0.6335,848.1333333332193,111.39999999989868,0.1390491100855825,52.5,43,2.455,6,0.20816573963092372,0.1852511137341507,0.8127117998705403,6.807604357266321,9.745707392689493,0,2,0,5,0.023443141459917882,2.7181226736765254,0.3169295169099281,2,0.9793199859294993,0.10975609756097561,73.5,7718,1670,1487,183,2974,2310,0.21637729981860584,0.8904191616766467,0.7767316745124412,0.0915,0.182
base,fast,2000,0.2205,809.649999999921,119.23333333322489,0.1494059863144727,50,48,2.5548125,6,0.21036925185649596,0.04091335010109977,0.9576761848399664,7.526310866285373,11.520318245619434,0,2,0,5,0.025151408905202288,0.655314846335679,0.2762135116615291,0,1.369973191639267,0.008620689655172414,77,7709,5874,5362,512,10724,10274,0.7619665326242054,0.912836227442969,0.9580380455054084,0.256,0.764
base,target,2000,0.189,817.0166666665809,117.649999999893,0.14761607146007605,47,43,2.357625,6,0.211556522486221,0.08910901578557051,0.908411908041106,6.529672575402224,10.148055586672427,0,2,0,5,0.02131051437442011,1.1300173038006818,0.2531548467534981,0,1.1063767470231771,0.037855266300453785,67,7676,3435,3082,353,6164,5480,0.4474986972381449,0.8972343522561863,0.8890330953926022,0.1765,0.679
base,stressed,2000,0.1525,827.6833333332379,117.29999999989332,0.14657994125040325,44,36,2.103625,5,0.2128210124919847,0.17644464548230238,0.8196200384484903,5.576788459369522,8.4270023516577,0,2,0,4,0.0203698757454589,1.8853359885234617,0.22306010589010095,1,0.8320012699358467,0.1076923076923077,56,7656,1684,1446,238,2892,2202,0.2199582027168234,0.8586698337292161,0.7614107883817427,0.119,0.466
hard,fast,2000,0.083,809.983333333254,153.6999999998602,0.19055911857370547,47,45,2.3644375,6,0.2005426491485291,0.04057039780550545,0.9583729146431278,6.727778864973546,10.67860904630149,0,2,0,5,0.023663643151763836,0.6235032019003084,0.23496216070706738,0,1.258016773557105,0.009523809523809525,68,7724,6166,4141,2025,8282,7943,0.7982910409114449,0.6715861174180993,0.9590678580053127,1.0125,0.9045
hard,target,2000,0.0735,815.4666666665823,151.03333333319597,0.18523342423364186,44,40,2.2084375,5,0.20152782541032344,0.08990922572237452,0.9079449961802903,6.0423336517992965,9.341235646956738,0,2,0,4,0.020833333333428072,1.0565856494385026,0.2245519370011588,0,1.0554016127333634,0.03908836261777438,61,7688,3761,2641,1120,5282,4663,0.48920395421436,0.7022068598776922,0.882809541840212,0.56,0.816
hard,stressed,2000,0.0455,820.7333333332442,149.0333333331978,0.18426603796982116,42,34,1.969125,4,0.2040390380332087,0.17851971519176688,0.8176868306109016,5.206805861973169,7.8876568659711594,0,2,0,4,0.02000000000015234,1.689999640551815,0.20000000000000961,1,0.8173543400640664,0.10810810810810811,51,7650,1771,1101,670,2202,1677,0.2315032679738562,0.6216826651609261,0.7615803814713896,0.335,0.5685
