difficulty,profile,runs,winRate,wallDurationSecondsP50,winningBossFightSecondsP50,winningBossShareP50,dropsGeneratedP50,effectivePickupsP50,mergesPerRegularWave,formed3StarAtBossEntryP50,breatherShare,expiredRate,collectedRate,actionsPerMinuteP50,actionsPerMinuteP95,rolling3sCountP50,rolling3sCountP95,rolling10sCountP50,rolling10sCountP95,queueDelayP50Seconds,queueDelayP95Seconds,overlappingWindowShareP50,attentionExtraExpiredP50,consumeActionsPerMinuteP50,errorRateP50,positionSwitchesP50,bountyOffered,bountyAccepted,bountyCompleted,bountyFailed,bountyRewardDrops,bountyRewardCollected,bountyAcceptanceRate,bountyCompletionRate,bountyRewardCollectionRate,bountyAcceptedBreaches,bountyAcceptedRunDeaths
hard,fast,2000,0.083,809.983333333254,153.6999999998602,0.19055911857370547,47,45,2.3644375,6,0.2005426491485291,0.04057039780550545,0.9583729146431278,6.727778864973546,10.67860904630149,0,2,0,5,0.023663643151763836,0.6235032019003084,0.23496216070706738,0,1.258016773557105,0.009523809523809525,68,7724,6166,4141,2025,8282,7943,0.7982910409114449,0.6715861174180993,0.9590678580053127,1.0125,0.9045
hard,target,2000,0.0735,815.4666666665823,151.03333333319597,0.18523342423364186,44,40,2.2084375,5,0.20152782541032344,0.08990922572237452,0.9079449961802903,6.0423336517992965,9.341235646956738,0,2,0,4,0.020833333333428072,1.0565856494385026,0.2245519370011588,0,1.0554016127333634,0.03908836261777438,61,7688,3761,2641,1120,5282,4663,0.48920395421436,0.7022068598776922,0.882809541840212,0.56,0.816
hard,stressed,2000,0.0455,820.7333333332442,149.0333333331978,0.18426603796982116,42,34,1.969125,4,0.2040390380332087,0.17851971519176688,0.8176868306109016,5.206805861973169,7.8876568659711594,0,2,0,4,0.02000000000015234,1.689999640551815,0.20000000000000961,1,0.8173543400640664,0.10810810810810811,51,7650,1771,1101,670,2202,1677,0.2315032679738562,0.6216826651609261,0.7615803814713896,0.335,0.5685
