difficulty,profile,runs,winRate,wallDurationSecondsP50,winningBossFightSecondsP50,winningBossShareP50,dropsGeneratedP50,effectivePickupsP50,mergesPerRegularWave,formed3StarAtBossEntryP50,breatherShare,expiredRate,collectedRate,actionsPerMinuteP50,actionsPerMinuteP95,rolling3sCountP50,rolling3sCountP95,rolling10sCountP50,rolling10sCountP95,queueDelayP50Seconds,queueDelayP95Seconds,overlappingWindowShareP50,attentionExtraExpiredP50,consumeActionsPerMinuteP50,errorRateP50,positionSwitchesP50,bountyOffered,bountyAccepted,bountyCompleted,bountyFailed,bountyRewardDrops,bountyRewardCollected,bountyAcceptanceRate,bountyCompletionRate,bountyRewardCollectionRate,bountyAcceptedBreaches,bountyAcceptedRunDeaths
base,fast,2000,0.2205,809.649999999921,119.23333333322489,0.1494059863144727,50,48,2.5548125,6,0.21036925185649596,0.04091335010109977,0.9576761848399664,7.526310866285373,11.520318245619434,0,2,0,5,0.025151408905202288,0.655314846335679,0.2762135116615291,0,1.369973191639267,0.008620689655172414,77,7709,5874,5362,512,10724,10274,0.7619665326242054,0.912836227442969,0.9580380455054084,0.256,0.764
base,target,2000,0.189,817.0166666665809,117.649999999893,0.14761607146007605,47,43,2.357625,6,0.211556522486221,0.08910901578557051,0.908411908041106,6.529672575402224,10.148055586672427,0,2,0,5,0.02131051437442011,1.1300173038006818,0.2531548467534981,0,1.1063767470231771,0.037855266300453785,67,7676,3435,3082,353,6164,5480,0.4474986972381449,0.8972343522561863,0.8890330953926022,0.1765,0.679
base,stressed,2000,0.1525,827.6833333332379,117.29999999989332,0.14657994125040325,44,36,2.103625,5,0.2128210124919847,0.17644464548230238,0.8196200384484903,5.576788459369522,8.4270023516577,0,2,0,4,0.0203698757454589,1.8853359885234617,0.22306010589010095,1,0.8320012699358467,0.1076923076923077,56,7656,1684,1446,238,2892,2202,0.2199582027168234,0.8586698337292161,0.7614107883817427,0.119,0.466
