variants,batchSeed,metaPowerMultiplier,permanentMissChance,pickupReactionSeconds,pickupReactionJitterSeconds,pickupActionIntervalSeconds,perkDecisionSeconds,simulationHz,totalWaves,runIndex,gameplaySeed,botSeed,win,timedOut,activeDurationSeconds,estimatedWallDurationSeconds,waveReached,level,perkDecisions,kills,merges,formed3Star,locked3Star,consumes,dropsGenerated,collected,expired,cardsFull,permanentlyMissedDrops,unresolvedDrops,expiredRate,collectedRate,mergesBeforeBoss,mergesPerRegularWave,breatherSeconds,breatherShare,bossReached,bossKilled,bossBreached,bossEntryFormed3Star,bossEntryLocked3Star,bossEntryCollected,bossSpawnFormed3Star,bossSpawnLocked3Star,bossSpawnCollected,preBossKillFormed3Star,preBossKillLocked3Star,preBossKillCollected,bossFightDurationSeconds,bossShare,peakEnemies,peakBullets,peakDrops,peakParticles
base,20260712,1,0.12,0.45,0.2,0.18,3,30,9,54,1025788700,2240132783,false,false,809.0999999999215,827.0999999999215,9,7,6,179,21,6,3,4,38,34,4,4,4,0,0.10526315789473684,0.8947368421052632,20,2.5,167.7333333333248,0.20730853211388095,1,0,1,6,3,32,6,3,34,0,0,0,0,0,2,5,3,0
base,20260712,1,0.12,0.45,0.2,0.18,3,30,9,55,32769415,533269338,false,false,822.133333333243,840.133333333243,9,7,6,179,21,6,3,0,36,31,5,0,5,0,0.1388888888888889,0.8611111111111112,14,1.75,167.7333333333248,0.20402205643854593,1,0,1,4,3,23,6,3,30,0,0,0,0,0,6,5,2,0
base,20260712,1,0.12,0.45,0.2,0.18,3,30,9,56,1186139222,1902446670,true,false,804.8999999999253,822.8999999999253,9,7,6,180,18,6,3,6,38,33,5,6,5,0,0.13157894736842105,0.868421052631579,14,1.75,167.7333333333248,0.20839027622479855,1,1,0,4,3,26,5,3,32,5,3,32,120.3999999998905,0.1495837992295958,6,10,2,0
base,20260712,1,0.12,0.45,0.2,0.18,3,30,9,57,2186131343,324611309,false,false,811.0999999999196,829.0999999999196,9,7,6,179,21,6,3,6,43,37,6,6,6,0,0.13953488372093023,0.8604651162790697,19,2.375,167.7333333333248,0.20679735338841254,1,0,1,6,3,31,6,3,36,0,0,0,0,0,3,7,2,0
base,20260712,1,0.12,0.45,0.2,0.18,3,30,9,58,753116385,3137016239,true,false,767.6999999999591,785.6999999999591,9,7,6,180,20,6,3,6,43,36,7,6,7,0,0.16279069767441862,0.8372093023255814,20,2.5,167.7333333333248,0.21848812470148982,1,1,0,6,3,30,6,3,35,6,3,35,86.96666666658757,0.11328209804167279,6,11,3,0
base,20260712,1,0.12,0.45,0.2,0.18,3,30,9,59,4171387993,912606203,true,false,800.5333333332626,818.5333333332626,9,7,6,180,22,7,3,11,47,42,5,11,5,0,0.10638297872340426,0.8936170212765957,19,2.375,167.7333333333248,0.20952698201199985,1,1,0,6,3,35,6,3,40,6,3,41,122.16666666655556,0.15260659560280607,6,10,2,0
base,20260712,1,0.12,0.45,0.2,0.18,3,30,9,60,1599599045,3404086600,false,false,784.7999999999436,802.7999999999436,9,7,6,179,20,5,3,5,40,34,6,5,6,0,0.15,0.85,18,2.25,167.7333333333248,0.21372748895685123,1,0,1,5,3,27,5,3,34,0,0,0,0,0,6,7,2,0
base,20260712,1,0.12,0.45,0.2,0.18,3,30,9,61,1184744348,2660779864,true,false,804.9666666665919,822.9666666665919,9,7,6,180,26,9,3,10,50,45,5,10,5,0,0.1,0.9,19,2.375,167.7333333333248,0.208373017516262,1,1,0,6,3,27,8,3,44,8,3,44,150.2333333331967,0.18663298687301005,2,5,3,0
base,20260712,1,0.12,0.45,0.2,0.18,3,30,9,62,3726251780,2830737307,true,false,798.0666666665982,816.0666666665982,9,7,6,180,27,8,3,5,45,41,4,5,4,0,0.08888888888888889,0.9111111111111111,21,2.625,167.7333333333248,0.21017458858909763,1,1,0,6,3,31,8,3,40,8,3,40,114.69999999989568,0.14372232896153897,5,10,2,0
base,20260712,1,0.12,0.45,0.2,0.18,3,30,9,63,628420005,93984634,false,false,797.1333333332657,815.1333333332657,9,7,6,179,25,7,3,6,45,40,5,6,5,0,0.1111111111111111,0.8888888888888888,22,2.75,167.7333333333248,0.21042067408213477,1,0,1,7,3,35,7,3,40,0,0,0,0,0,6,8,2,0
base,20260712,1,0.12,0.45,0.2,0.18,3,30,9,64,3310469291,3058166250,false,false,821.8333333332432,839.8333333332432,9,7,6,179,27,8,3,9,52,45,7,9,7,0,0.1346153846153846,0.8653846153846154,23,2.875,167.7333333333248,0.2040965321435934,1,0,1,7,3,36,8,3,43,0,0,0,0,0,5,8,2,0
base,20260712,1,0.12,0.45,0.2,0.18,3,30,9,65,772134288,1673145911,false,false,784.4666666666105,802.4666666666105,9,7,6,179,21,6,3,4,34,33,1,4,1,0,0.029411764705882353,0.9705882352941176,15,1.875,167.7333333333248,0.21381830543044547,1,0,1,4,3,24,5,3,31,0,0,0,0,0,6,11,2,0
base,20260712,1,0.12,0.45,0.2,0.18,3,30,9,66,3226336270,3407807712,true,false,787.3333333332746,805.3333333332746,9,7,6,180,16,5,3,3,32,27,5,3,5,0,0.15625,0.84375,10,1.25,167.7333333333248,0.21303979678239285,1,1,0,3,2,17,4,3,26,4,3,26,122.36666666655537,0.15541913632501841,5,8,2,0
base,20260712,1,0.12,0.45,0.2,0.18,3,30,9,67,176166743,3655424218,false,false,824.2999999999076,842.2999999999076,9,7,6,179,23,7,3,13,49,46,3,13,3,0,0.061224489795918366,0.9387755102040817,20,2.5,167.7333333333248,0.20348578591937835,1,0,1,6,2,37,7,3,44,0,0,0,0,0,5,9,2,0
base,20260712,1,0.12,0.45,0.2,0.18,3,30,9,68,1364349378,290956375,false,false,767.1999999999596,785.1999999999596,9,7,6,179,18,5,2,5,40,33,7,5,7,0,0.175,0.825,12,1.5,167.7333333333248,0.2186305179005913,1,0,1,3,2,26,5,2,33,0,0,0,0,0,5,5,2,0
base,20260712,1,0.12,0.45,0.2,0.18,3,30,9,69,3700438327,214477261,false,false,814.1333333332502,832.1333333332502,9,7,6,179,24,7,3,22,61,55,6,22,6,0,0.09836065573770492,0.9016393442622951,21,2.625,167.7333333333248,0.20602685882739344,1,0,1,6,3,47,7,3,55,0,0,0,0,0,3,4,2,0
base,20260712,1,0.12,0.45,0.2,0.18,3,30,9,70,1009379196,346025300,false,false,819.6999999999118,837.6999999999118,9,7,6,179,18,5,3,4,37,31,6,4,6,0,0.16216216216216217,0.8378378378378378,12,1.5,167.7333333333248,0.20462770932456123,1,0,1,3,3,24,5,3,31,0,0,0,0,0,5,7,2,0
base,20260712,1,0.12,0.45,0.2,0.18,3,30,9,71,879063749,3923476295,false,false,822.6333333332425,840.6333333332425,9,7,6,179,19,5,2,12,47,41,6,12,6,0,0.1276595744680851,0.8723404255319149,18,2.25,167.7333333333248,0.20389805097452487,1,0,1,5,2,36,5,2,41,0,0,0,0,0,5,7,2,0
base,20260712,1,0.12,0.45,0.2,0.18,3,30,9,72,2558025091,4035319720,false,false,807.8999999999226,825.8999999999226,9,7,6,179,16,5,3,4,34,28,6,4,6,0,0.17647058823529413,0.8235294117647058,12,1.5,167.7333333333248,0.20761645418163246,1,0,1,3,3,23,5,3,28,0,0,0,0,0,4,5,3,0
base,20260712,1,0.12,0.45,0.2,0.18,3,30,9,73,105028354,696519562,false,false,837.9999999998952,855.9999999998952,9,7,6,179,21,6,2,10,47,41,6,10,6,0,0.1276595744680851,0.8723404255319149,21,2.625,167.7333333333248,0.20015910898967276,1,0,1,6,2,34,6,2,40,0,0,0,0,0,6,11,2,0
base,20260712,1,0.12,0.45,0.2,0.18,3,30,9,74,3147724494,1758340152,false,false,792.4999999999366,810.4999999999366,9,7,6,179,27,8,3,12,52,48,4,12,4,0,0.07692307692307693,0.9230769230769231,21,2.625,167.7333333333248,0.21165089379601038,1,0,1,6,3,39,8,3,48,0,0,0,0,0,3,4,2,0
base,20260712,1,0.12,0.45,0.2,0.18,3,30,9,75,3072069306,173343261,false,false,786.6999999999418,804.6999999999418,9,7,6,179,21,6,3,6,41,36,5,6,5,0,0.12195121951219512,0.8780487804878049,18,2.25,167.7333333333248,0.21321130460574195,1,0,1,5,3,31,6,3,36,0,0,0,0,0,5,11,2,0
base,20260712,1,0.12,0.45,0.2,0.18,3,30,9,76,1276772488,3889190384,false,false,829.0999999999033,847.0999999999033,9,7,6,179,19,6,3,5,39,34,5,5,5,0,0.1282051282051282,0.8717948717948718,15,1.875,167.7333333333248,0.20230772323404217,1,0,1,4,3,24,6,3,34,0,0,0,0,0,3,7,2,0
base,20260712,1,0.12,0.45,0.2,0.18,3,30,9,77,930022865,72636026,false,false,759.1333333333002,777.1333333333002,9,7,6,179,16,4,3,4,33,30,3,4,3,0,0.09090909090909091,0.9090909090909091,16,2,167.7333333333248,0.22095371915341894,1,0,1,4,3,27,4,3,29,0,0,0,0,0,5,5,2,0
base,20260712,1,0.12,0.45,0.2,0.18,3,30,9,78,2075503612,2137709207,false,false,778.4333333332827,796.4333333332827,9,7,6,179,13,3,3,0,28,23,5,0,5,0,0.17857142857142858,0.8214285714285714,10,1.25,167.7333333333248,0.2154755277694545,1,0,1,3,3,18,3,3,22,0,0,0,0,0,6,13,2,0
base,20260712,1,0.12,0.45,0.2,0.18,3,30,9,79,2401082734,2377095938,true,false,808.7666666665884,826.7666666665884,9,7,6,180,17,5,2,3,33,30,3,3,3,0,0.09090909090909091,0.9090909090909091,14,1.75,167.7333333333248,0.20739397436426785,1,1,0,4,2,23,5,2,29,5,2,29,130.5333333332146,0.16139801343596494,5,14,1,0
base,20260712,1,0.12,0.45,0.2,0.18,3,30,9,80,3833849000,715543658,false,false,813.0666666665845,831.0666666665845,9,7,6,179,30,9,3,12,61,52,9,12,9,0,0.14754098360655737,0.8524590163934426,27,3.375,167.7333333333248,0.20629714660545476,1,0,1,8,3,42,9,3,50,0,0,0,0,0,5,10,2,0
