variants,batchSeed,metaPowerMultiplier,permanentMissChance,pickupReactionSeconds,pickupReactionJitterSeconds,pickupActionIntervalSeconds,perkDecisionSeconds,simulationHz,totalWaves,runIndex,gameplaySeed,botSeed,win,timedOut,activeDurationSeconds,estimatedWallDurationSeconds,waveReached,level,perkDecisions,kills,merges,formed3Star,locked3Star,consumes,dropsGenerated,collected,expired,cardsFull,permanentlyMissedDrops,unresolvedDrops,expiredRate,collectedRate,mergesBeforeBoss,mergesPerRegularWave,breatherSeconds,breatherShare,bossReached,bossKilled,bossBreached,bossEntryFormed3Star,bossEntryLocked3Star,bossEntryCollected,bossSpawnFormed3Star,bossSpawnLocked3Star,bossSpawnCollected,preBossKillFormed3Star,preBossKillLocked3Star,preBossKillCollected,bossFightDurationSeconds,bossShare,peakEnemies,peakBullets,peakDrops,peakParticles
difficulty-easy,20260712,1,0.12,0.45,0.2,0.18,3,30,9,1821,3898799738,2265742874,true,false,826.7333333332388,847.7333333332388,9,8,7,180,30,9,3,16,59,56,3,16,3,0,0.05084745762711865,0.9491525423728814,24,3,167.7333333333248,0.20288686396259653,1,1,0,7,3,39,9,3,55,9,3,55,136.16666666654282,0.164704459317666,5,6,2,0
difficulty-easy,20260712,1,0.12,0.45,0.2,0.18,3,30,9,1822,1929365467,1701452883,false,false,845.2333333332219,866.2333333332219,9,8,7,179,25,8,3,8,47,41,6,8,6,0,0.1276595744680851,0.8723404255319149,20,2.5,167.7333333333248,0.19844618842924663,1,0,1,6,3,32,7,3,40,0,0,0,0,0,6,10,2,0
difficulty-easy,20260712,1,0.12,0.45,0.2,0.18,3,30,9,1823,4258710056,3266725051,true,false,774.833333333286,795.833333333286,9,8,7,180,21,6,3,7,41,38,3,7,3,0,0.07317073170731707,0.926829268292683,20,2.5,167.7333333333248,0.21647666164766838,1,1,0,6,3,32,6,3,37,6,3,37,91.49999999991678,0.118089911808891,4,10,2,0
difficulty-easy,20260712,1,0.12,0.45,0.2,0.18,3,30,9,1824,1596967601,352534637,false,false,838.6666666665612,859.6666666665612,9,8,7,179,28,9,3,17,60,54,6,17,6,0,0.1,0.9,25,3.125,167.7333333333248,0.20000000000001497,1,0,1,8,3,47,9,3,54,0,0,0,0,0,5,8,3,0
difficulty-easy,20260712,1,0.12,0.45,0.2,0.18,3,30,9,1825,2490345225,3216538626,false,false,856.5999999998783,877.5999999998783,9,8,7,179,24,7,3,17,56,51,5,17,5,0,0.08928571428571429,0.9107142857142857,21,2.625,167.7333333333248,0.19581290372793442,1,0,1,6,3,42,7,3,50,0,0,0,0,0,6,8,2,0
difficulty-easy,20260712,1,0.12,0.45,0.2,0.18,3,30,9,1826,2528636846,2133428044,false,false,781.9999999999461,802.9999999999461,9,8,7,179,24,7,3,18,58,52,6,18,6,0,0.10344827586206896,0.896551724137931,21,2.625,167.7333333333248,0.21449275362319226,1,0,1,6,3,41,7,3,52,0,0,0,0,0,3,5,2,0
difficulty-easy,20260712,1,0.12,0.45,0.2,0.18,3,30,9,1827,152926630,3275936342,true,false,820.7333333332442,841.7333333332442,9,8,7,180,23,7,3,14,56,47,9,14,9,0,0.16071428571428573,0.8392857142857143,17,2.125,167.7333333333248,0.20437007554220982,1,1,0,5,3,34,7,3,43,7,3,46,131.06666666654746,0.1596945820809378,6,10,2,0
difficulty-easy,20260712,1,0.12,0.45,0.2,0.18,3,30,9,1828,1353408950,2684316204,true,false,815.7666666665821,836.7666666665821,9,8,7,180,26,8,3,24,67,60,7,24,7,0,0.1044776119402985,0.8955223880597015,24,3,167.7333333333248,0.20561435050873475,1,1,0,7,3,45,8,3,58,8,3,58,126.76666666655137,0.1553957422464322,4,5,3,0
difficulty-easy,20260712,1,0.12,0.45,0.2,0.18,3,30,9,1829,3064449911,3957041642,false,false,806.4666666665905,827.4666666665905,9,8,7,179,27,8,3,10,51,45,6,10,6,0,0.11764705882352941,0.8823529411764706,21,2.625,167.7333333333248,0.2079854509382582,1,0,1,6,3,35,7,3,44,0,0,0,0,0,5,12,2,0
difficulty-easy,20260712,1,0.12,0.45,0.2,0.18,3,30,9,1830,3607936744,1625255176,true,false,810.3333333332537,831.3333333332537,9,8,7,180,28,8,3,10,53,48,5,10,5,0,0.09433962264150944,0.9056603773584906,26,3.25,167.7333333333248,0.20699300699301681,1,1,0,8,3,41,8,3,46,8,3,47,128.99999999988268,0.1591937474289124,5,11,2,0
