variants,batchSeed,metaPowerMultiplier,permanentMissChance,pickupReactionSeconds,pickupReactionJitterSeconds,pickupActionIntervalSeconds,perkDecisionSeconds,simulationHz,totalWaves,runIndex,gameplaySeed,botSeed,win,timedOut,activeDurationSeconds,estimatedWallDurationSeconds,waveReached,level,perkDecisions,kills,merges,formed3Star,locked3Star,consumes,dropsGenerated,collected,expired,cardsFull,permanentlyMissedDrops,unresolvedDrops,expiredRate,collectedRate,mergesBeforeBoss,mergesPerRegularWave,breatherSeconds,breatherShare,bossReached,bossKilled,bossBreached,bossEntryFormed3Star,bossEntryLocked3Star,bossEntryCollected,bossSpawnFormed3Star,bossSpawnLocked3Star,bossSpawnCollected,preBossKillFormed3Star,preBossKillLocked3Star,preBossKillCollected,bossFightDurationSeconds,bossShare,peakEnemies,peakBullets,peakDrops,peakParticles
difficulty-hard,20260712,1,0.12,0.45,0.2,0.18,3,30,9,296,3988336265,4106843566,true,false,788.1333333332739,806.1333333332739,9,7,6,180,19,6,3,4,36,32,4,4,4,0,0.1111111111111111,0.8888888888888888,16,2,159.73333333332567,0.20267298257486602,1,1,0,5,3,27,6,3,31,6,3,32,129.89999999988186,0.16481982744022797,6,11,2,0
difficulty-hard,20260712,1,0.12,0.45,0.2,0.18,3,30,9,297,3860601920,2563560105,false,false,743.8999999999808,761.8999999999808,9,7,6,179,22,7,3,3,39,33,6,3,6,0,0.15384615384615385,0.8461538461538461,16,2,159.73333333332567,0.21472420128152953,1,0,1,5,3,25,6,3,31,0,0,0,0,0,5,10,3,0
difficulty-hard,20260712,1,0.12,0.45,0.2,0.18,3,30,9,298,2942594758,32852192,false,false,794.0333333332685,809.0333333332685,9,6,5,179,15,4,2,2,29,27,2,2,2,0,0.06896551724137931,0.9310344827586207,13,1.625,159.73333333332567,0.2011670374879376,1,0,1,4,2,20,4,2,27,0,0,0,0,0,4,6,2,0
difficulty-hard,20260712,1,0.12,0.45,0.2,0.18,3,30,9,299,761145382,3771477340,false,false,754.4333333333045,769.4333333333045,9,6,5,179,24,7,3,6,43,40,3,6,3,0,0.06976744186046512,0.9302325581395349,18,2.25,159.73333333332567,0.2117262404453653,1,0,1,5,3,29,7,3,39,0,0,0,0,0,6,5,2,0
difficulty-hard,20260712,1,0.12,0.45,0.2,0.18,3,30,9,300,3091017178,590834317,false,false,766.8333333332932,784.8333333332932,9,7,6,179,29,8,3,9,53,48,5,9,5,0,0.09433962264150944,0.9056603773584906,23,2.875,159.73333333332567,0.2083025429254519,1,0,1,6,3,38,8,3,47,0,0,0,0,0,6,5,2,0
difficulty-hard,20260712,1,0.12,0.45,0.2,0.18,3,30,9,301,517405117,1420393332,false,false,767.0666666666264,782.0666666666264,9,6,5,179,14,4,3,0,30,23,7,0,7,0,0.23333333333333334,0.7666666666666667,12,1.5,159.73333333332567,0.2082391795584922,1,0,1,4,3,19,4,3,22,0,0,0,0,0,6,11,3,0
difficulty-hard,20260712,1,0.12,0.45,0.2,0.18,3,30,9,302,3078579972,987649907,false,false,811.5333333332526,829.5333333332526,9,7,6,179,28,8,3,6,48,43,5,6,5,0,0.10416666666666667,0.8958333333333334,23,2.875,159.73333333332567,0.19682904789288783,1,0,1,7,3,33,8,3,42,0,0,0,0,0,7,11,2,0
difficulty-hard,20260712,1,0.12,0.45,0.2,0.18,3,30,9,303,1593802884,4230359978,false,false,797.2333333332656,815.2333333332656,9,7,6,179,23,7,3,9,50,41,9,9,9,0,0.18,0.82,18,2.25,159.73333333332567,0.2003595768700162,1,0,1,5,3,31,6,3,37,0,0,0,0,0,6,7,2,0
difficulty-hard,20260712,1,0.12,0.45,0.2,0.18,3,30,9,304,4138059750,1212721152,false,false,803.6333333332598,818.6333333332598,9,6,5,179,17,4,2,4,33,31,2,4,2,0,0.06060606060606061,0.9393939393939394,15,1.875,159.73333333332567,0.19876394707371559,1,0,1,4,2,27,4,2,31,0,0,0,0,0,5,7,1,0
difficulty-hard,20260712,1,0.12,0.45,0.2,0.18,3,30,9,305,2051303118,3174368594,false,false,825.7333333332397,840.7333333332397,9,6,5,179,15,5,3,0,25,22,3,0,3,0,0.12,0.88,13,1.625,159.73333333332567,0.19344421120621322,1,0,1,4,3,19,5,3,22,0,0,0,0,0,7,11,2,0
