difficulty,profile,runs,winRate,wallDurationSecondsP50,winningBossFightSecondsP50,winningBossShareP50,dropsGeneratedP50,effectivePickupsP50,mergesPerRegularWave,formed3StarAtBossEntryP50,breatherShare,expiredRate,collectedRate,actionsPerMinuteP50,actionsPerMinuteP95,rolling3sCountP50,rolling3sCountP95,rolling10sCountP50,rolling10sCountP95,queueDelayP50Seconds,queueDelayP95Seconds,overlappingWindowShareP50,attentionExtraExpiredP50,consumeActionsPerMinuteP50,errorRateP50,positionSwitchesP50,bountyOffered,bountyAccepted,bountyCompleted,bountyFailed,bountyRewardDrops,bountyRewardCollected,bountyAcceptanceRate,bountyCompletionRate,bountyRewardCollectionRate,bountyAcceptedBreaches,bountyAcceptedRunDeaths
base,fast,200,0.6,810.4999999999202,471.09999999957154,0.4084473600842117,34,33,1.986875,5,0.21478902345561038,0.04051078819903126,0.9594892118009687,4.628456344131974,7.120740445326423,0,1,0,3,0.021897172975783974,0.4824690222152208,0.14917953765613418,0,0.7430384548155669,0,51,775,630,438,192,876,847,0.8129032258064516,0.6952380952380952,0.9668949771689498,0.915,0.395
base,target,200,0.57,828.9499999999034,460.64999999958104,0.40407870024292347,34,31,1.866875,5,0.2119007138176557,0.08262839879154078,0.9172205438066465,4.345837278760773,5.931133082017711,0,1,0,3,0.020833333333257542,0.7262734597037753,0.12992257536259139,0,0.6235513452837455,0.034482758620689655,48,748,400,285,115,570,527,0.5347593582887701,0.7125,0.9245614035087719,0.54,0.39
base,stressed,200,0.665,834.7833333332314,427.5333333329445,0.3881726287752662,31,26,1.684375,4,0.21334419709023766,0.15098537825810554,0.8486967577876668,3.8401079049849347,5.641800661808045,0,1,0,3,0.01999999999998181,0.9636161855974414,0.1301556276527472,0,0.43874811733384567,0.10230245944531659,41,730,166,120,46,240,210,0.2273972602739726,0.7228915662650602,0.875,0.215,0.165
