difficulty,profile,runs,winRate,wallDurationSecondsP50,winningBossFightSecondsP50,winningBossShareP50,dropsGeneratedP50,effectivePickupsP50,mergesPerRegularWave,formed3StarAtBossEntryP50,breatherShare,expiredRate,collectedRate,actionsPerMinuteP50,actionsPerMinuteP95,rolling3sCountP50,rolling3sCountP95,rolling10sCountP50,rolling10sCountP95,queueDelayP50Seconds,queueDelayP95Seconds,overlappingWindowShareP50,attentionExtraExpiredP50,consumeActionsPerMinuteP50,errorRateP50,positionSwitchesP50,bountyOffered,bountyAccepted,bountyCompleted,bountyFailed,bountyRewardDrops,bountyRewardCollected,bountyAcceptanceRate,bountyCompletionRate,bountyRewardCollectionRate,bountyAcceptedBreaches,bountyAcceptedRunDeaths
base,fast,100,0.64,754.3999999999712,441.59999999959837,0.3902638337611576,41,40,2.21375,5,0.20897627059908871,0.037731371618414805,0.9610821072615092,5.437450926870987,11.455005202979404,0,2,0,4,0.023407766980540146,0.6006752123928522,0.21677980180670556,0,0.8497042365872287,0,61,382,322,238,84,476,457,0.8429319371727748,0.7391304347826086,0.9600840336134454,0.83,0.31
base,target,100,0.52,763.11666666663,433.9999999996053,0.3883686690221537,38.5,35,2.06625,5,0.21265107424867266,0.08152734778121776,0.9176986584107327,4.863993433503339,9.00197315926298,0,1.25,0,3,0.020833333333428072,0.9504515070085262,0.19269733346616552,0,0.6978413441533287,0.03571428571428571,52.5,388,208,148,60,296,271,0.5360824742268041,0.7115384615384616,0.9155405405405406,0.58,0.42
base,stressed,100,0.58,778.9999999999488,446.4333333329273,0.3941320149493019,36,31,1.84625,4,0.21039797054389886,0.14574115044247787,0.8523230088495575,4.486099160252902,7.150546782784865,0,1,0,3,0.02000000000015234,1.5423392944411594,0.1799711346180156,0,0.4630920070856229,0.1141507897736525,47.5,366,89,59,30,118,99,0.24316939890710382,0.6629213483146067,0.8389830508474576,0.3,0.25
